"Fuel.Type.Code","Latitude","Longitude"
"ELEC",38.35147,-121.995
"ELEC",38.67995,-121.2989
"ELEC",38.45754,-121.842552
"ELEC",38.72799,-120.828
"ELEC",38.6476,-121.067
"ELEC",38.40553,-121.391
"ELEC",38.74453,-121.17
"ELEC",38.617933,-121.3339
"ELEC",44.469281,-73.154972
"ELEC",38.15485,-121.69
"ELEC",34.6466339,-118.1476554
"ELEC",33.3348396,-118.3117957
"ELEC",33.7327386,-117.8504117
"ELEC",33.855141,-118.234048
"ELEC",33.8035349,-118.157638
"ELEC",34.136276,-117.993909
"ELEC",34.0448498,-118.1001162
"ELEC",33.8665381,-117.9608866
"ELEC",34.042657,-117.625018
"ELEC",33.7446997,-118.0007638
"ELEC",33.785424,-116.465959
"ELEC",33.6537158,-117.7044015
"ELEC",36.184617,-119.3311505
"ELEC",34.025555,-118.4728222
"ELEC",37.1226609,-119.3147417
"ELEC",33.52008,-117.760822
"ELEC",33.843659,-118.342405
"ELEC",34.1621502,-118.8359401
"ELEC",34.4337728,-118.5855526
"ELEC",34.2860491,-119.1762718
"ELEC",38.052033,-122.153
"ELEC",38.2514613,-122.0433643
"ELEC",38.23723,-122.123
"ELEC",38.24337,-122.04
"ELEC",38.1025259,-122.2640626
"ELEC",38.69033,-121.5871
"ELEC",38.69033,-121.5871
"ELEC",33.94474,-118.4
"ELEC",34.1385896,-118.1283421
"ELEC",45.51399,-122.676
"ELEC",37.3368338,-121.8861582
"ELEC",45.335978,-122.761949
"ELEC",32.754954,-117.107457
"ELEC",38.3501299,-121.9949806
"ELEC",45.479667,-122.693655
"ELEC",34.0554254,-117.2000263
"ELEC",38.5786564,-121.4908975
"ELEC",33.7400971,-117.1540652
"ELEC",34.475937,-117.289514
"ELEC",44.469281,-73.154972
"ELEC",34.0582929,-118.2557788
"ELEC",34.033429,-118.2570014
"ELEC",34.0820573,-118.2171527
"ELEC",33.7994415,-118.2584214
"ELEC",34.2420746,-118.3899441
"ELEC",47.04437,-122.823
"ELEC",47.04389,-122.823
"ELEC",41.7649421,-88.3076462
"ELEC",45.419911,-122.6658574
"ELEC",45.50812,-122.665002
"ELEC",45.360956,-122.602292
"ELEC",44.9971669,-122.9772389
"ELEC",37.43201447,-122.1823654
"ELEC",35.682304,-120.702174
"ELEC",39.32732,-120.215
"ELEC",39.15,-123.2091
"ELEC",38.3687086,-121.9612667
"ELEC",34.092549,-118.351258
"ELEC",38.57424,-121.557443
"ELEC",38.9412492,-121.1054805
"ELEC",37.87012863,-122.2702103
"ELEC",39.099117,-120.9532
"ELEC",38.54643,-121.7388
"ELEC",38.5443,-121.738
"ELEC",38.544345,-121.75026
"ELEC",38.55755,-121.6947
"ELEC",38.573359,-121.719193
"ELEC",36.188975,-121.075858
"ELEC",33.84788,-118.13889
"ELEC",36.60003,-121.8936
"ELEC",38.295981,-122.303226
"ELEC",34.0220292,-118.4687695
"ELEC",37.37793,-122.03
"ELEC",38.5518426,-121.4291905
"ELEC",37.94495,-122.5096
"ELEC",37.17488,-122.009
"ELEC",37.7136,-122.2087
"ELEC",37.7948902,-122.4052587
"ELEC",37.3359851,-121.8197694
"ELEC",34.030347,-118.498017
"ELEC",47.4434755,-122.2962554
"ELEC",37.3378484,-121.8861262
"ELEC",40.1192192,-88.2445908
"ELEC",43.7932119,-116.714946
"ELEC",43.6274859,-116.2392521
"ELEC",29.4274729,-98.4905516
"ELEC",44.9958095,-123.0201957
"ELEC",44.94399,-123.033
"ELEC",35.7702063,-78.6776385
"ELEC",45.5225754,-122.9889145
"ELEC",45.4175588,-122.7341275
"ELEC",45.4449044,-122.6411851
"ELEC",45.3340087,-122.5988402
"ELEC",45.23944,-123.075
"ELEC",39.7242546,-121.8138504
"ELEC",38.248456,-122.068439
"ELEC",37.77913,-122.418
"ELEC",38.46649551,-122.7237396
"ELEC",38.4649015,-122.7255445
"ELEC",37.900959,-122.0626373
"ELEC",37.8981934,-122.0609665
"ELEC",27.8699551,-82.7352295
"ELEC",42.4453155,-71.260713
"ELEC",35.7622527,-78.783042
"ELEC",36.1531372,-86.7687399
"ELEC",37.498704,-77.04348
"ELEC",44.9283791,-124.015831
"ELEC",32.2499199,-110.9429016
"ELEC",41.5895918,-95.0607923
"ELEC",41.91435,-87.6622
"ELEC",40.771153,-73.193261
"ELEC",40.814019,-73.608978
"ELEC",39.558938,-82.459188
"ELEC",28.5362113,-81.3797816
"ELEC",43.0839795,-89.3630909
"ELEC",47.034293,-122.940661
"ELEC",33.3964424,-111.841774
"ELEC",35.4863954,-120.6655842
"ELEC",36.70104,-121.6673
"ELEC",21.299654,-157.857132
"ELEC",42.3343161,-83.0570807
"ELEC",44.5861397,-123.115258
"ELEC",44.9758322,-124.0107554
"ELEC",29.6934151,-95.4083592
"ELEC",32.9216728,-96.9954987
"ELEC",45.4978552,-122.6858544
"ELEC",45.510514,-122.663316
"ELEC",35.250422,-120.689154
"ELEC",35.25982,-120.676
"ELEC",42.702424,-73.857693
"ELEC",42.9675264,-73.7633332
"ELEC",41.690556,-73.931637
"ELEC",47.673347,-117.388933
"ELEC",47.655047,-117.424552
"ELEC",44.0559485,-121.3057087
"ELEC",38.668736,-121.7287
"ELEC",41.6156398,-93.5784358
"ELEC",41.682143,-93.698401
"ELEC",34.8422394,-82.4092026
"ELEC",45.1382552,-93.2739983
"ELEC",34.9321,-120.435367
"ELEC",26.4783001,-80.0895004
"ELEC",28.5378895,-81.3788071
"ELEC",37.7952854,-122.4043362
"ELEC",29.5255355,-98.4755255
"ELEC",32.8657913,-96.7641678
"ELEC",34.74555969,-92.28119659
"ELEC",32.2361565,-110.7817917
"ELEC",33.8345944,-117.9141157
"ELEC",33.692049,-117.892915
"ELEC",37.259354,-121.963
"ELEC",38.0184746,-122.1345444
"ELEC",38.4620056,-122.7253838
"ELEC",39.2075854,-106.9486113
"ELEC",40.0011292,-105.263031
"ELEC",39.7439318,-104.992985
"ELEC",41.073247,-73.4768859
"ELEC",41.9778537,-72.5811825
"ELEC",41.6724723,-72.8582306
"ELEC",41.8824425,-87.6204453
"ELEC",39.1559067,-76.7172165
"ELEC",39.0412788,-94.5743561
"ELEC",35.8936233,-78.6499196
"ELEC",40.27801132,-74.82046509
"ELEC",36.1218796,-115.3231888
"ELEC",44.0090953,-123.0340515
"ELEC",41.6702347,-71.5001144
"ELEC",30.2711792,-97.7537842
"ELEC",29.7546349,-95.3722076
"ELEC",29.7571125,-95.3731689
"ELEC",29.7529144,-95.3737946
"ELEC",29.7525673,-95.3730087
"ELEC",29.76948166,-95.36944
"ELEC",30.0546093,-95.1882629
"ELEC",33.2156306,-96.6112604
"ELEC",48.6950989,-122.9040985
"ELEC",48.5359993,-123.0192032
"ELEC",48.5250015,-122.9152985
"ELEC",47.708025,-122.5834328
"ELEC",42.97167,-73.774182
"ELEC",34.4419061,-119.8295935
"ELEC",41.8792797,-87.6266101
"ELEC",41.8774754,-87.6341564
"ELEC",41.8790815,-87.6345612
"ELEC",41.8837219,-87.6350062
"ELEC",41.8846529,-87.6271015
"ELEC",41.88541,-87.6306938
"ELEC",41.8853766,-87.6335427
"ELEC",41.8927536,-87.6260762
"ELEC",34.950136,-81.932791
"ELEC",34.9520415,-81.9315933
"ELEC",34.7156776,-81.625202
"ELEC",41.1803348,-73.1927599
"ELEC",41.219921,-73.253682
"ELEC",41.1406181,-73.2571997
"ELEC",41.1422413,-73.2640247
"ELEC",41.157196,-73.241898
"ELEC",41.305706,-72.927224
"ELEC",41.3051995,-72.9340164
"ELEC",41.30361,-72.9297123
"ELEC",41.2975912,-72.9267052
"ELEC",41.3566648,-72.0945957
"ELEC",41.5275499,-72.0640928
"ELEC",41.1193777,-73.3693207
"ELEC",41.9513279,-72.663078
"ELEC",27.336466,-82.544287
"ELEC",38.9813957,-76.4939651
"ELEC",42.2788881,-83.2041202
"ELEC",42.7818508,-86.0755507
"ELEC",42.6636848,-84.5352173
"ELEC",44.7593643,-85.6230915
"ELEC",42.5085622,-83.0468451
"ELEC",40.754509,-73.995944
"ELEC",38.9642906,-77.4203949
"ELEC",42.59132,-87.9144897
"ELEC",43.1184281,-89.3185472
"ELEC",43.0912292,-89.5288403
"ELEC",33.768284,-84.518427
"ELEC",34.6964951,-82.9520798
"ELEC",34.8948975,-82.1620941
"ELEC",34.042306,-80.93906
"ELEC",33.2043266,-79.9867249
"ELEC",34.8554115,-82.2476654
"ELEC",41.503373,-81.639054
"ELEC",38.417317,-82.456447
"ELEC",28.5605698,-81.4417572
"ELEC",28.556881,-81.3776093
"ELEC",28.5392532,-81.3744659
"ELEC",28.4297521,-81.4623392
"ELEC",28.5280247,-81.4475861
"ELEC",28.5124874,-81.3519287
"ELEC",28.4952242,-81.3307587
"ELEC",41.8773356,-87.6299912
"ELEC",38.6918576,-90.4216862
"ELEC",36.002119,-78.914857
"ELEC",40.7632446,-73.9886475
"ELEC",45.5220316,-122.9890718
"ELEC",45.5204425,-122.978088
"ELEC",34.8512688,-82.3798523
"ELEC",33.1310948,-96.6565774
"ELEC",42.610363,-88.4052353
"ELEC",47.6146248,-122.1923255
"ELEC",37.3912472,-122.0811988
"ELEC",37.3306416,-121.8873012
"ELEC",28.5379448,-81.7375031
"ELEC",26.051443,-80.1420851
"ELEC",38.966725,-123.114542
"ELEC",33.78412,-84.3828
"ELEC",45.5799713,-122.717804
"ELEC",45.541345,-122.661903
"ELEC",40.719352,-111.8653783
"ELEC",40.74686,-111.876
"ELEC",40.7628964,-111.8894042
"ELEC",40.766246,-111.890549
"ELEC",40.759561,-111.883924
"ELEC",47.044919,-122.907576
"ELEC",47.0458549,-122.8719323
"ELEC",47.056888,-122.841752
"ELEC",47.0458483,-122.9035616
"ELEC",47.045792,-122.933675
"ELEC",47.0460523,-122.8748728
"ELEC",47.071917,-122.976675
"ELEC",46.996336,-122.916699
"ELEC",46.984193,-122.904856
"ELEC",41.770428,-72.687141
"ELEC",41.879631,-72.729919
"ELEC",38.9251442,-94.6562424
"ELEC",38.924433,-94.7265042
"ELEC",42.3471832,-83.3866577
"ELEC",39.3008156,-94.6681671
"ELEC",39.0847397,-94.5871582
"ELEC",42.9599876,-85.644371
"ELEC",42.4214125,-83.4314217
"ELEC",43.2418213,-86.252861
"ELEC",38.9141388,-94.3763809
"ELEC",39.7739372,-94.7692947
"ELEC",42.36262,-72.5395
"ELEC",26.465314,-80.07219
"ELEC",26.462489,-80.075476
"ELEC",47.4688242,-122.3389077
"ELEC",47.545168,-122.0191913
"ELEC",47.67584,-122.091467
"ELEC",47.6766792,-122.1233277
"ELEC",47.597428,-122.330452
"ELEC",41.7634529,-72.6854594
"ELEC",41.7605918,-72.6733763
"ELEC",41.283282,-72.35059
"ELEC",42.317892,-72.629907
"ELEC",39.997769,-83.032407
"ELEC",47.5808279,-122.151784
"ELEC",47.7405004,-122.1885709
"ELEC",37.4195655,-122.1355193
"ELEC",42.3492209,-71.0414338
"ELEC",37.36395,-121.9238
"ELEC",39.145905,-77.189583
"ELEC",34.0060697,-81.0377099
"ELEC",34.0034214,-81.0360377
"ELEC",34.008185,-81.041594
"ELEC",34.0021318,-81.0406684
"ELEC",34.847168,-82.385809
"ELEC",34.8499335,-82.4004695
"ELEC",34.7612472,-83.063516
"ELEC",34.8531094,-82.3938086
"ELEC",33.9978,-81.036153
"ELEC",34.8530379,-82.3953179
"ELEC",34.8529843,-82.3952128
"ELEC",34.852395,-82.4001385
"ELEC",34.9246989,-81.0277264
"ELEC",34.9547891,-81.0132819
"ELEC",34.7192805,-81.6469875
"ELEC",34.7705,-81.494433
"ELEC",38.930796,-121.092196
"ELEC",29.287094,-94.8609
"ELEC",38.955726,-95.2710963
"ELEC",34.0199168,-118.4913164
"ELEC",34.1014581,-118.3218375
"ELEC",34.0089789,-118.4896573
"ELEC",37.7848527,-122.4085014
"ELEC",37.8065991,-122.4202209
"ELEC",37.80383301,-122.404
"ELEC",34.010528,-118.4898
"ELEC",39.8435711,-104.77144
"ELEC",39.9540369,-105.16664
"ELEC",39.9284098,-105.1484919
"ELEC",42.372258,-71.122667
"ELEC",35.2339389,-80.8511063
"ELEC",35.0884705,-106.6495667
"ELEC",40.7554398,-73.9920273
"ELEC",40.75195,-111.8661067
"ELEC",47.295427,-122.2517995
"ELEC",43.264535,-85.256679
"ELEC",32.9545,-96.8191
"ELEC",40.0129991,-105.2785376
"ELEC",26.713123,-80.055583
"ELEC",41.492057,-87.522819
"ELEC",42.962069,-85.659011
"ELEC",28.8524609,-81.6845551
"ELEC",28.8553562,-81.6843796
"ELEC",28.8540993,-81.6862259
"ELEC",30.4852524,-81.6623993
"ELEC",28.7835711,-81.3556262
"ELEC",28.7034283,-81.3263855
"ELEC",28.7988129,-81.6445313
"ELEC",28.8013611,-81.6444702
"ELEC",28.8247609,-81.3136197
"ELEC",35.2250595,-80.8490372
"ELEC",40.7323647,-74.1654282
"ELEC",40.7337914,-74.1622849
