Year,State,Per capita personal income (dollars)
2019,Rhode Island,55123
2019,South Carolina,46150
2019,South Dakota,54408
2019,Tennessee,48903
2019,Texas,53271
2019,Utah,48163
2019,Vermont,54278
2019,Virginia,58362
2019,Washington,63431
2019,West Virginia,42615
2019,Wisconsin,52370
2019,Wyoming,61853
2018,Alabama,41324
2018,Alaska *,58997
2018,Arizona,45297
2018,Arkansas,43031
2018,California,60984
2018,Colorado,57798
2018,Connecticut,72159
2018,Delaware,52670
2018,District of Columbia,82272
2018,Florida,51015
2018,Georgia,46624
2018,Hawaii *,51554
2018,Idaho,43254
2018,Illinois,56077
2018,Indiana,46555
2018,Iowa,48773
2018,Kansas,50282
2018,Kentucky,41658
2018,Louisiana,45465
2018,Maine,47729
2018,Maryland,59915
2018,Massachusetts,69191
2018,Michigan,47089
2018,Minnesota,56201
2018,Mississippi,37624
2018,Missouri,46680
2018,Montana,47208
2018,Nebraska,51436
2018,Nevada,49289
2018,New Hampshire,60335
2018,New Jersey,64198
2018,New Mexico,40976
2018,New York,64229
2018,North Carolina,46048
2018,North Dakota,55173
2018,Ohio,47821
2018,Oklahoma,46030
2018,Oregon,50209
2018,Pennsylvania,54468
2018,Rhode Island,52132
2018,South Carolina,43817
2018,South Dakota,51579
2018,Tennessee,46449
2018,Texas,51346
2018,Utah,45463
2018,Vermont,51691
2018,Virginia,56130
2018,Washington,59824
2018,West Virginia,41001
2018,Wisconsin,50520
2018,Wyoming,59197
2017,Alabama,39968
2017,Alaska *,56500
2017,Arizona,43255
2017,Arkansas,41403
2017,California,58214
2017,Colorado,54176
2017,Connecticut,69147
2017,Delaware,49997
2017,District of Columbia,79567
2017,Florida,48447
2017,Georgia,44836
2017,Hawaii *,50506
2017,Idaho,41197
2017,Illinois,53056
2017,Indiana,44568
2017,Iowa,46767
2017,Kansas,48271
2017,Kentucky,40403
2017,Louisiana,43486
2017,Maine,45905
2017,Maryland,58245
2017,Massachusetts,66069
2017,Michigan,45264
2017,Minnesota,53826
2017,Mississippi,36579
2017,Missouri,44781
2017,Montana,45369
2017,Nebraska,49533
2017,Nevada,46991
2017,New Hampshire,57878
2017,New Jersey,61704
2017,New Mexico,39196
2017,New York,62206
2017,North Carolina,44219
2017,North Dakota,51830
2017,Ohio,46114
2017,Oklahoma,43873
2017,Oregon,47566
2017,Pennsylvania,51886
2017,Rhode Island,50414
2017,South Carolina,42385
2017,South Dakota,49408
2017,Tennessee,44407
2017,Texas,48524
2017,Utah,43030
2017,Vermont,50009
2017,Virginia,54377
2017,Washington,56800
2017,West Virginia,38841
2017,Wisconsin,48311
2017,Wyoming,56378
2016,Alabama,38704
2016,Alaska *,55536
2016,Arizona,41173
2016,Arkansas,40181
2016,California,55862
2016,Colorado,51312
2016,Connecticut,67551
2016,Delaware,48186
2016,District of Columbia,77500
2016,Florida,45730
2016,Georgia,42742
2016,Hawaii *,48561
2016,Idaho,39653
2016,Illinois,51347
2016,Indiana,43143
2016,Iowa,45669
2016,Kansas,46717
2016,Kentucky,39319
2016,Louisiana,42132
2016,Maine,44234
2016,Maryland,56606
2016,Massachusetts,63476
2016,Michigan,44080
2016,Minnesota,51982
2016,Mississippi,35638
2016,Missouri,43826
2016,Montana,43301
2016,Nebraska,48688
2016,Nevada,44715
2016,New Hampshire,55677
2016,New Jersey,59776
2016,New Mexico,38474
2016,New York,58400
2016,North Carolina,42596
2016,North Dakota,51298
2016,Ohio,44574
2016,Oklahoma,42053
2016,Oregon,45467
2016,Pennsylvania,50572
2016,Rhode Island,48515
2016,South Carolina,40752
2016,South Dakota,48284
2016,Tennessee,42938
2016,Texas,45868
2016,Utah,41295
2016,Vermont,48827
2016,Virginia,52656
2016,Washington,54296
2016,West Virginia,37075
2016,Wisconsin,46595
2016,Wyoming,53419
